Year,"RUSSIA'S MILITARY SPENDING
per year ($USD bn)",RUSSIA'S % of GDP,RUSSIA'S GDP,"UKRAINE'S MILITARY SPENDING
per year ($USD bn)",UKRAINE'S % of GDP,UKRAINE'S GDP,Total,source 1,source 2,source 3,source 4,source 5
2021,65,3.5%,"1,836",5.9,3.0%,199,71,"https://en.wikipedia.org/wiki/Military_budget_of_Russia#:~:text=Russia's%20official%202022%20military%20budget,military%20budget%20announced%20in%202021.",https://www.sipri.org/databases/milex,https://www.macrotrends.net/global-metrics/countries/RUS/russia/gdp-gross-domestic-product,https://www.statista.com/statistics/263772/gross-domestic-product-gdp-in-russia/,https://www.statista.com/statistics/296140/ukraine-gross-domestic-product/
2022,86,3.8%,"2,240",43,26.9%,160,129,"https://en.wikipedia.org/wiki/Military_budget_of_Russia#:~:text=Russia's%20official%202022%20military%20budget,military%20budget%20announced%20in%202021.",https://www.sipri.org/databases/milex,https://www.macrotrends.net/global-metrics/countries/RUS/russia/gdp-gross-domestic-product,https://www.statista.com/statistics/263772/gross-domestic-product-gdp-in-russia/,https://www.statista.com/statistics/296140/ukraine-gross-domestic-product/
2023,104,5.6%,"1,862",31,17.9%,173,135,"https://en.wikipedia.org/wiki/Military_budget_of_Russia#:~:text=Russia's%20official%202022%20military%20budget,military%20budget%20announced%20in%202021.",https://www.theguardian.com/world/2024/feb/13/global-defence-spending-rises-9-per-cent-to-record-22tn-dollars,,https://www.statista.com/statistics/263772/gross-domestic-product-gdp-in-russia/,https://www.statista.com/statistics/296140/ukraine-gross-domestic-product/
2024,117,6.2%,"1,900",40,21.5%,186,157,https://www.theguardian.com/world/2024/feb/15/rate-of-russian-military-production-worries-european-war-planners,https://www.reuters.com/world/europe/everything-front-russia-allots-third-2024-spending-defence-2023-10-02/,https://www.wilsoncenter.org/blog-post/ukraines-budget-2024,https://www.statista.com/statistics/263772/gross-domestic-product-gdp-in-russia/,https://www.statista.com/statistics/296140/ukraine-gross-domestic-product/
